time	count
20131130090002	10
20131130090004	8
20131130090006	5
20131130090008	2
20131130090010	5
20131130090012	2
20131130090014	5
20131130090016	4
20131130090018	6
20131130090020	2
20131130090022	1
20131130090024	2
20131130090026	8
20131130090028	7
20131130090030	1
20131130090032	3
20131130090034	5
20131130090036	7
20131130090038	10
20131130090040	8
20131130090042	9
20131130090044	1
20131130090046	3
20131130090048	8
20131130090050	2
20131130090052	6
20131130090054	7
20131130090056	1
20131130090058	1
20131130090060	3
20131130090062	5
20131130090064	9
20131130090066	1
20131130090068	6
20131130090070	8
20131130090072	10
20131130090074	2
20131130090076	8
20131130090078	8
20131130090080	6
20131130090082	7
20131130090084	3
20131130090086	1
20131130090088	8
20131130090090	6
20131130090092	2
20131130090094	7
20131130090096	10
20131130090098	7
20131130090100	5
20131130090102	3
20131130090104	1
20131130090106	1
20131130090108	10
20131130090110	9
20131130090112	5
20131130090114	2
20131130090116	6
20131130090118	9
20131130090120	6
20131130090122	9
20131130090124	6
20131130090126	8
20131130090128	2
20131130090130	5
20131130090132	5
20131130090134	5
20131130090136	2
20131130090138	10
20131130090140	1
20131130090142	5
20131130090144	3
20131130090146	7
20131130090148	6
20131130090150	2
20131130090152	8
20131130090154	10
20131130090156	5
20131130090158	9
20131130090160	2
20131130090162	2
20131130090164	2
20131130090166	3
20131130090168	2
20131130090170	7
20131130090172	5
20131130090174	5
20131130090176	2
20131130090178	7
20131130090180	3
20131130090182	4
20131130090184	8
20131130090186	9
20131130090188	1
20131130090190	8
20131130090192	4
20131130090194	5
20131130090196	8
20131130090198	9
20131130090200	9
20131130090202	10
20131130090204	1
20131130090206	8
20131130090208	7
20131130090210	5
20131130090212	5
20131130090214	5
20131130090216	1
20131130090218	2
20131130090220	5
20131130090222	6
20131130090224	8
20131130090226	10
20131130090228	8
20131130090230	1
20131130090232	7
20131130090234	10
20131130090236	2
20131130090238	1
20131130090240	10
20131130090242	5
20131130090244	3
20131130090246	10
20131130090248	4
20131130090250	2
20131130090252	6
20131130090254	3
20131130090256	9
20131130090258	9
20131130090260	10
20131130090262	9
20131130090264	7
20131130090266	9
20131130090268	9
20131130090270	6
20131130090272	6
20131130090274	7
20131130090276	9
20131130090278	10
20131130090280	3
20131130090282	2
20131130090284	7
20131130090286	10
20131130090288	1
20131130090290	5
20131130090292	2
20131130090294	4
20131130090296	8
20131130090298	8
20131130090300	9
20131130090302	3
